Source,Destination,Packet_Count,Duration
2001:db8::1,2001:db8::56,11,8.983383
2001:db8::57,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::57,11,8.982629
2001:db8::58,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::58,11,8.983275
2001:db8::59,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::59,11,9.046948
2001:db8::60,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::60,10,7.96373
2001:db8::63,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::63,10,7.962803
2001:db8::61,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::61,10,7.962882
2001:db8::62,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::62,10,7.962684
2001:db8::65,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::65,10,7.962503
2001:db8::64,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::64,10,7.962776
2001:db8::66,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::66,10,7.962546
2001:db8::67,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::67,10,7.962677
2001:db8::68,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::68,10,7.962391
2001:db8::69,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::69,10,7.962944
2001:db8::70,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::70,10,7.962903
2001:db8::73,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::73,10,7.962525
2001:db8::72,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::72,10,7.962443
2001:db8::71,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::71,10,7.962533
2001:db8::74,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::74,10,7.962628
2001:db8::75,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::75,10,7.828318
2001:db8::76,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::76,10,7.830698
2001:db8::77,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::77,10,7.827767
2001:db8::78,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::78,10,7.827624
2001:db8::5,2001:db8::1,13,8.727801
2001:db8::79,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::79,10,7.894593
2001:db8::80,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::80,10,7.894541
2001:db8::82,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::82,10,7.894245
2001:db8::81,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::81,10,7.892317
2001:db8::4,2001:db8::1,13,8.659656
2001:db8::84,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::84,10,7.894229
2001:db8::85,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::85,10,7.912142
2001:db8::6,2001:db8::1,13,8.671228
2001:db8::9,2001:db8::1,13,8.647568
2001:db8::7,2001:db8::1,13,8.647579
2001:db8::88,ff02::1:ff00:1,1,0
2001:db8::1,2001:db8::88,10,7.83433
2001:db8::86,ff02::1:ff00:1,1,0
